username,location,text,created_at
margaretannjac6,,RT @Jakecheeasman3: Oh Golly This has got to be the best day of my fucking LIFE!!! 45 to be rightfully acquitted tonight! Brexit taking pla…,2020-02-05
fryfishboil,,RT @iiea: Speaking to the #IIEA on #BrexitDay @sinnfeinireland leader @MaryLouMcDonald reminded the audience that in the event of #IrishUni…,2020-02-05
fractallogic1,"Brighton, England, Earth.","RT @fractallogic1: #BrexitDay #politics #cartoon. image @DaveBrownToons for @Independent. #Brexit #Boris

#TuesdayThoughts #BrexitCelebrati…",2020-02-05
CoastalBF12,No man's land,"RT @Rachael_Swindon: I think Nigel Farage would rather you forget about this clip I’ve just put together. 

You probably won’t find a much…",2020-02-05
vespasian91,,RT @oldjumpers: A whole bloody 'era' of this carp. No thank you. #BrexitDay,2020-02-05
gelodea123,,RT @Jon_Chalk1: Brighton are not pissing about #BrexitDay https://t.co/82BmHu1fNm,2020-02-05
vespasian91,,RT @oldjumpers: Good luck hunting and gathering with your commemorative 50p coin. #BrexitDay,2020-02-05
luxslave101,,"RT @oldjumpers: Auf wiedersehen, Europe. So many of us love you. And that will not change. #BrexitDay",2020-02-05
vespasian91,,"RT @oldjumpers: Auf wiedersehen, Europe. So many of us love you. And that will not change. #BrexitDay",2020-02-05
vespasian91,,"RT @oldjumpers: 84% of Daily Express readers said flying the EU flag on or after #BrexitDay upset them. 

Please be sensitive. #ILoveEU htt…",2020-02-05
KenBram72524723,,RT @catherinemep: The @LibDems will always be Europeans. #NotMyBrexit #BrexitDay,2020-02-05
LoveEU47079136,Europe,RT @wallyboy25: Song for #BrexitDay by Limmy https://t.co/TYI271OWWJ via @YouTube,2020-02-05
LoveEU47079136,Europe,RT @DiyWest: The #bbcnews two idiots (the same two idiots who were on crying on #brexitday near 11pm) are on now looking all sad that Trump…,2020-02-05
denseTN,,"RT @PublicDomainRev: Detail from an anthropomorphised map of Europe in 1870. Britain is an old woman, “isolated and fuming with rage”, turn…",2020-02-05
BasBcm,,RT @deAdder: Cartoon for @TorontoStar #BrexitDay #Brexit50p #Brexiteers #BrexitShambles https://t.co/tANe3Wijvm,2020-02-05
Z51vett,"Georgia, USA",RT @Jakecheeasman3: Oh Golly This has got to be the best day of my fucking LIFE!!! 45 to be rightfully acquitted tonight! Brexit taking pla…,2020-02-05
Marieisabelles5,....,"RT @Rachael_Swindon: I think Nigel Farage would rather you forget about this clip I’ve just put together. 

You probably won’t find a much…",2020-02-05
JonO333888,,RT @Jakecheeasman3: Oh Golly This has got to be the best day of my fucking LIFE!!! 45 to be rightfully acquitted tonight! Brexit taking pla…,2020-02-05
007rgmweddings,"Loanhead,Edinburgh,Scotland,","RT @PA: The SNP used the sand of Portobello Beach, Edinburgh, to send a message to the EU on #BrexitDay https://t.co/OLh0eW98qZ",2020-02-05
wallyboy25,My bit,Song for #BrexitDay by Limmy https://t.co/TYI271OWWJ via @YouTube,2020-02-05
DiyWest,"South West, England",The #bbcnews two idiots (the same two idiots who were on crying on #brexitday near 11pm) are on now looking all sad… https://t.co/c3OFOqOn0c,2020-02-05
RichieD76,,RT @Jakecheeasman3: Oh Golly This has got to be the best day of my fucking LIFE!!! 45 to be rightfully acquitted tonight! Brexit taking pla…,2020-02-05
SebVallerie,,"RT @ChooseNormandy: As featured in today's @thetimes and @standardnews, our ad shows that long after #BrexitDay, Normandy's #enduringties w…",2020-02-05
KathiAngelone,Florida USA,"RT @RealCandaceO: As many of you know, my husband is British and my father-in-law sits in the House of Lords. 
Safe to say the Farmer house…",2020-02-05
buttsa_twinkle,The Bagel Belt,"RT @Rachael_Swindon: I think Nigel Farage would rather you forget about this clip I’ve just put together. 

You probably won’t find a much…",2020-02-05
JETMEDIA2,United States,RT @Jakecheeasman3: Oh Golly This has got to be the best day of my fucking LIFE!!! 45 to be rightfully acquitted tonight! Brexit taking pla…,2020-02-05
rocket89653,,"RT @barrystantonGBP: we won. britain won. are kids won. true patriots won. time to make britain british again 🇬🇧
#BrexitDay https://t.co/iE…",2020-02-05
jamielynde,,"RT @TheGreenParty: THREAD: Since it’s #BrexitDay, we’re looking back on some of the fantastic successes our MEPs achieved in their seven mo…",2020-02-05
StephenBridge2,Lincolnshire,"RT @Kettlebellafell: History of EU referendums:

Norway said No: Ignored
Swiss said No twice: Ignored
Denmark said No: Ignored
Ireland said…",2020-02-05
Daniela85706724,,"RT @ZuzanaCaputova: We are losing a valuable #EU member today. But we are not parting with a friend, an ally and a close partner. Wishing t…",2020-02-05
AMonkeyGoingApe,"BA, Durham","RT @Kettlebellafell: History of EU referendums:

Norway said No: Ignored
Swiss said No twice: Ignored
Denmark said No: Ignored
Ireland said…",2020-02-05
west_views,Scotland,"RT @Rachael_Swindon: I think Nigel Farage would rather you forget about this clip I’ve just put together. 

You probably won’t find a much…",2020-02-05
princesssjj1,,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
DougallKirsty,,"RT @Rachael_Swindon: I think Nigel Farage would rather you forget about this clip I’ve just put together. 

You probably won’t find a much…",2020-02-05
andykeatingis,,"RT @Rachael_Swindon: I think Nigel Farage would rather you forget about this clip I’ve just put together. 

You probably won’t find a much…",2020-02-05
rocket89653,,RT @barrystantonGBP: REMOANERS WANT EU?? GO AN FUCKIN LIVE THERE THEN. WILL BOOK YOU A TICKET TO AFRICER MYSELF. THIS IS BRITAIN NOW. AN TH…,2020-02-05
lixthesixtoy,"Fort Lee, NJ","RT @lixthesixtoy: History is made in the President Impeachment. 51 No's 49 Yea
#ImpeachmentHearing
#XRPCommunity #xrp #0doubt #ODL #RIPGOP…",2020-02-05
Cass_caro,,"RT @Rachael_Swindon: I think Nigel Farage would rather you forget about this clip I’ve just put together. 

You probably won’t find a much…",2020-02-05
coachpolarbear,"Kilmarnock, Scotland","RT @Rachael_Swindon: I think Nigel Farage would rather you forget about this clip I’ve just put together. 

You probably won’t find a much…",2020-02-05
HickmottPatrick,"The Cotswolds, Oxfordshire","RT @Rachael_Swindon: I think Nigel Farage would rather you forget about this clip I’ve just put together. 

You probably won’t find a much…",2020-02-05
rocket89653,,"RT @barrystantonGBP: under evropian eunion:
groomin gangs 
imgrints 
mosk on every corner 
sermali pirate 
grime
homersexual pride year rou…",2020-02-05
Mylastrollo,"East Midlands, England","RT @Rachael_Swindon: I think Nigel Farage would rather you forget about this clip I’ve just put together. 

You probably won’t find a much…",2020-02-05
exploitmoney,/\/ I R \/ A /\/ /\,"RT @SkyNews: What changes now #BrexitDay has arrived? 

On this #Brexit special #Daily podcast @SkyAnnieJ chats to @robpowellnews about wha…",2020-02-05
sherriff_harry,,"RT @Kettlebellafell: History of EU referendums:

Norway said No: Ignored
Swiss said No twice: Ignored
Denmark said No: Ignored
Ireland said…",2020-02-05
francelisrevol1,,"RT @en_germany: #January31: These are the latest #news from #Germany for you! #NewsDE
❗🆕🇩🇪👉 https://t.co/139sYAbLNp

#Brexit #Britain #EU #…",2020-02-05
ejaz_nouman,,"RT @NorbertElekes: An Englishman, an Irishman and a Scotsman walk into a bar. The Englishman wanted to go, so they all had to leave.

#Brex…",2020-02-05
trumprules2929,,"RT @RealCandaceO: As many of you know, my husband is British and my father-in-law sits in the House of Lords. 
Safe to say the Farmer house…",2020-02-05
gpellarin84,"Primo corno, Orchestra ANSC",RT @AndreaMatyellow: A very long post on this #BrexitDay https://t.co/Q3GxxktO4G #Europe #LongLiveEurope https://t.co/21AhswiPTk,2020-02-05
Dai_James1942,Middle England,"RT @Kettlebellafell: History of EU referendums:

Norway said No: Ignored
Swiss said No twice: Ignored
Denmark said No: Ignored
Ireland said…",2020-02-05
deportedtoEU,,"RT @Kettlebellafell: History of EU referendums:

Norway said No: Ignored
Swiss said No twice: Ignored
Denmark said No: Ignored
Ireland said…",2020-02-05
2112Frankie,Cumbria,"RT @Kettlebellafell: History of EU referendums:

Norway said No: Ignored
Swiss said No twice: Ignored
Denmark said No: Ignored
Ireland said…",2020-02-05
Ageless_2u,"Manchester, England","RT @MadeleinaKay: Everyone singing WE ARE EUROPE outside Europe House on #BrexitDay because we still believe #TheFutureisEurope 🇬🇧💔🇪🇺
WE WI…",2020-02-05
RegHoare,London,"RT @KayBurley: ""We're in control."" 

Michael Gove tells me the UK will not agree a deal over fisheries to secure a post-Brexit trade agreem…",2020-02-05
riccardomalfano,London,"My goodbye to Europe last week for BBC!
I even tried to be arty with the Union Jack in the lower part of Big Ben’s… https://t.co/tlWPkrjlwu",2020-02-05
drumcoille,Kirriemuir,RT @PWMartin_Leith: I won't be the only SNP membership secretary today who's seen yet another surge in branch numbers following Fridays #Br…,2020-02-05
Indy_4_Scotland,Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿,RT @PWMartin_Leith: I won't be the only SNP membership secretary today who's seen yet another surge in branch numbers following Fridays #Br…,2020-02-05
PeggyFagan45,Bath,"RT @Kettlebellafell: History of EU referendums:

Norway said No: Ignored
Swiss said No twice: Ignored
Denmark said No: Ignored
Ireland said…",2020-02-05
LoveEU47079136,Europe,"RT @Ibyt4: Coming up to 1200 followers. Any Brexiters out there?

Will follow back.
#BrexitDay #BrexitCelebration #BrexitBritain #Brexit #B…",2020-02-05
LoveEU47079136,Europe,RT @Food4ears: True 😉 #BrexitDay https://t.co/FVz04Pbk9p,2020-02-05
SilverBlades17,,"RT @RaheemKassam: Feels like the right day to BUST this picture back out.

From ⁦@realDonaldTrump⁩’s Trump Tower apartment.

Nov 10th 2016.…",2020-02-05
Ibyt4,,"Coming up to 1200 followers. Any Brexiters out there?

Will follow back.
#BrexitDay #BrexitCelebration #BrexitBritain #Brexit #BrexitJohnson",2020-02-05
Zjoert,Hier ,RT @Food4ears: True 😉 #BrexitDay https://t.co/FVz04Pbk9p,2020-02-05
rovaz,192.168.0.1,RT @Food4ears: True 😉 #BrexitDay https://t.co/FVz04Pbk9p,2020-02-05
chrisslowe,,"RT @Femi_Sorry: To those of you who are feeling sad on #BrexitDay...
WATCH THIS!!! 
https://t.co/yIdTyU1WHe",2020-02-05
Food4ears,"Rotterdam, Nederland",True 😉 #BrexitDay https://t.co/FVz04Pbk9p,2020-02-05
kathyrolandsmit,All over the world,"RT @RealCandaceO: As many of you know, my husband is British and my father-in-law sits in the House of Lords. 
Safe to say the Farmer house…",2020-02-05
Deplorable_JJ,,RT @Jakecheeasman3: Oh Golly This has got to be the best day of my fucking LIFE!!! 45 to be rightfully acquitted tonight! Brexit taking pla…,2020-02-05
jeanette_viegas,,"RT @RaheemKassam: Feels like the right day to BUST this picture back out.

From ⁦@realDonaldTrump⁩’s Trump Tower apartment.

Nov 10th 2016.…",2020-02-05
odile620,Hove Edge England,"RT @Rachael_Swindon: I think Nigel Farage would rather you forget about this clip I’ve just put together. 

You probably won’t find a much…",2020-02-05
Vicar_of_Timbly,In the 52%,"RT @RealCandaceO: As many of you know, my husband is British and my father-in-law sits in the House of Lords. 
Safe to say the Farmer house…",2020-02-05
ANDYC2311,London & Woking (from Leeds!),"RT @BorisJohnson_MP: Once we have left the EU, our top priority will be to find someone else to blame for the NHS crisis, 130,000 deaths fr…",2020-02-05
PaulRob_Sydney,"Sydney, New South Wales",RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
sweengin,,"RT @prayingmedic: The day patriots took back their freedom from unelected globalist bureaucrats.
🇬🇧
#BrexitDay
https://t.co/mzhRikEeSk",2020-02-05
RolandFarquhar1,"Luton, England",RT @peggy_grande: An historic day for the United Kingdom and a victory for democracy worldwide. The UK is once again sovereign. #BrexitDay…,2020-02-05
Honest_Sy1,,"#horriblehistories's British Things song is correct, but oozing with resentment &amp; miraculously shown on #BrexitDay.… https://t.co/71tEr07ARa",2020-02-05
DrRueckauf,Deutschland,RT @iiea: Speaking to the #IIEA on #BrexitDay @sinnfeinireland leader @MaryLouMcDonald reminded the audience that in the event of #IrishUni…,2020-02-05
up_weekly,NC,"RT @EricMMatheny: If you missed the live show check out the replay! We talk #ImpeachmentTrialSham #BrexitDay and #TaxationIsTheft! 

https:…",2020-02-05
bigbadhenry,Conwy County,"RT @LocutusBrussels: This is a fantastic video - so glad I was a part of the #BrexitDay celebrations there at #ParliamentSquare.

Great cro…",2020-02-05
nutspeed2,GREAT fekkin BRITAIN ,RT @_Islamicat: The prospect of #BrexitDay has sended brother Amir quite mad https://t.co/ZRZGFHhPTa,2020-02-05
Hossam01141062,,"RT @en_germany: #January31: These are the latest #news from #Germany for you! #NewsDE
❗🆕🇩🇪👉 https://t.co/139sYAbLNp

#Brexit #Britain #EU #…",2020-02-05
jackiekly,,RT @Shr33k1: @BrexitBetrayed Not soon enough! Most of the country have seen how bias its been towards remain for #brexit instead of remaini…,2020-02-05
Bethlivelaught,"Florida, USA","RT @RealCandaceO: As many of you know, my husband is British and my father-in-law sits in the House of Lords. 
Safe to say the Farmer house…",2020-02-05
BosseStine,,"RT @EMInternational: It seemed that #BoJo already had a plan in place.
Surrounded by his loyal Brexiteers, he attempted to prorogue parliam…",2020-02-05
bigchill_LC,,"RT @RealCandaceO: As many of you know, my husband is British and my father-in-law sits in the House of Lords. 
Safe to say the Farmer house…",2020-02-05
Stevotwomey,,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
JoyceOnstad,London,"RT @LibDems: Our European story doesn’t end today. #BrexitDay

We will never stop fighting for liberal, progessive ideals.

Join us today t…",2020-02-05
Whitebeamsebus,"North East, England",RT @Shr33k1: @BrexitBetrayed Not soon enough! Most of the country have seen how bias its been towards remain for #brexit instead of remaini…,2020-02-05
AnnieBJackson,,"RT @RealCandaceO: As many of you know, my husband is British and my father-in-law sits in the House of Lords. 
Safe to say the Farmer house…",2020-02-05
heliman_david,"South West, England",RT @Shr33k1: @BrexitBetrayed Not soon enough! Most of the country have seen how bias its been towards remain for #brexit instead of remaini…,2020-02-05
mit1953,,"RT @PA: The SNP used the sand of Portobello Beach, Edinburgh, to send a message to the EU on #BrexitDay https://t.co/OLh0eW98qZ",2020-02-05
Bryan4265901,,"RT @BanTheBBC: BBC reporting on #BrexitDay Celebrations: “Hundreds gathered in Parliament Square”

#FakeNews 

The pro-EU BBC have been opp…",2020-02-05
ScottTh04152768,,"RT @RealCandaceO: As many of you know, my husband is British and my father-in-law sits in the House of Lords. 
Safe to say the Farmer house…",2020-02-05
pjackso09793788,,RT @Shr33k1: @BrexitBetrayed Not soon enough! Most of the country have seen how bias its been towards remain for #brexit instead of remaini…,2020-02-05
petered68442383,,RT @Shr33k1: @BrexitBetrayed Not soon enough! Most of the country have seen how bias its been towards remain for #brexit instead of remaini…,2020-02-05
OwlBeGood23,,"RT @RealCandaceO: As many of you know, my husband is British and my father-in-law sits in the House of Lords. 
Safe to say the Farmer house…",2020-02-05
TedandRhu,Devon,RT @Glastomichelle: Well it's quite an important day in our country's history but I am going to put that to one side and tweet a photo take…,2020-02-05
BolgerLorraine,France-UK ,"RT @Tommoriarty16: #brexit is not the will of the people. It is the conditioning of the people to believe it is their will.  

#BrexitReali…",2020-02-05
SpineyNorman6,East Dorset,"RT @iamtheman331: BBC : ""it's a very white crowd""

Ummm... OK.

#ScrapTheLicenceFee #BrexitNight #BrexitDay #BrexitCelebration https://t.co…",2020-02-05
nel87_90ang,"New York, USA","RT @RealCandaceO: As many of you know, my husband is British and my father-in-law sits in the House of Lords. 
Safe to say the Farmer house…",2020-02-05
Jr_abubakr,,RT @FoilArmsAndHog: WTF is Brexit.. #BrexitDay https://t.co/UWGbhqpzBe,2020-02-05
PaulineCornfor4,,"RT @drhaqnawaz: On this #BrexitDay I shall celebrate with dignity, humility, and empathy for other half of #familyUK. 

""Satisfaction lies…",2020-02-05
DesMchlmcgnn,,"RT @allianceparty: The decisions we make now will define the years to come.

It's not over.

#BrexitDay

https://t.co/7SEANU0E47",2020-02-05
HindleRay,St Annes,"RT @LukeCaunt: Britain although an island nation has always looked beyond its shores for friends around the world. Today, I feel we are tur…",2020-02-05
stvknight,"Vendée, France",RT @TheStephenRalph: @fascinatorfun @EmporersNewC The lies and contradictions are so many that every single day will see them tripping over…,2020-02-05
LettertoEurope,National District,RT @LettertoEurope: #ActOnTheGap #TimesUp #RTL #CNN #Cachicha  #Intecrd #ListinDiario #SAT1 #ZDF #SDGs #WomensMarch #eustrivesformore #list…,2020-02-05
LettertoEurope,National District,#ActOnTheGap #TimesUp #RTL #CNN #Cachicha  #Intecrd #ListinDiario #SAT1 #ZDF #SDGs #WomensMarch #eustrivesformore… https://t.co/2SGvNMe82z,2020-02-05
