username,source_freq_map
HomeinHalifax,"{'Ripl App': 99, 'Facebook': 46, 'Hootsuite Inc.': 39, 'OneUp App': 15, 'Twitter Web Client': 1}"
iansuth,"{'SocialOomph': 182, 'Twitter for Android': 17, 'Twitter Web App': 1}"
snowalps,"{'Twitter for Android': 156, 'Hootsuite': 38, 'Twitter Web Client': 4, 'dlvr.it': 1, 'Twitter for iPad': 1}"
knarkse_flac,"{'IFTTT': 196, 'TweetDeck': 4}"
bainenathan,"{'Twitter for iPhone': 158, 'Twitter Web App': 41, 'Twitter Web Client': 1}"
SharonMichaelso,{'twitterfeed': 200}
SusieCumberland,"{'Twitter for Android': 144, 'Instagram': 44, 'LinkedIn': 6, 'WordPress.com': 4, 'Pinterest': 1, 'Gleam Competition App': 1}"
AmazonLaunch,{'Hootsuite Inc.': 200}
Albertkeyn,"{'Facebook': 198, 'Mixcloud': 2}"
Istanbull,"{'Twitter for Android': 188, 'Twitter Web App': 12}"
templefareast,"{'Twitter for Android': 145, 'Instagram': 32, 'Twitter Web App': 12, 'Goodreads': 10}"
DraftRyan2016,{'Twitter Web Client': 1}
WarrenColton1,{'twitterfeed': 200}
DMirayes,{'Facebook': 200}
AlvesCristiano7,{'Twitter for Android': 199}
diyfeed,{'IFTTT': 200}
phineasandferg,{'Twitter for iPhone': 2}
redwoodcitynow,{'Hootsuite': 200}
Kar_M12,{'Twitter for iPhone': 196}
SRHSNJ,"{'AgoraPulse Manager': 102, 'Twitter for iPhone': 30, 'WordPress.com': 21, 'TweetDeck': 21, 'Instagram': 12, 'Blackbaud Social Good': 9, 'Twitter Web App': 2, 'Twitter Web Client': 2, 'Canva': 1}"
roseaffair,{'Facebook': 200}
ideagirlmedia,{'Sprout Social': 200}
BI_contributors,"{'Business Insider': 196, 'TweetDeck': 4}"
Modo0007,{'Twitter for Android': 200}
AmzonBestseller,{'Hootsuite Inc.': 200}
SianChristinaK,{'Twitter for iPhone': 200}
SKJtraveler,"{'Twitter Web App': 173, 'Twitter Web Client': 27}"
Pixelfish,{'Twitter for iPhone': 199}
murthy1983,"{'Buffer': 122, 'dlvr.it': 78}"
LeveragYourBook,"{'Hootsuite': 195, 'Twitter for iPhone': 5}"
ACbrd21,{'Twitter for iPhone': 149}
OfficeSupport,{'Sprinklr Publisher': 200}
CramerRonald1,{'twitterfeed': 200}
HYOSlCA,{'Twitter for iPhone': 2}
Mvni__,{'Twitter for iPhone': 192}
icanbeyourruler,"{'Twitter for iPhone': 183, 'Twitter Web Client': 4}"
FlightsAndHotel,"{'Twitter Web Client': 199, 'Mobile Web (M2)': 1}"
lilMan_Blair,"{'Twitter for Android': 172, 'fllwrs': 16, 'Instagram': 6}"
BestBookPromos1,{'Hootsuite': 200}
RCDSB,"{'Twitter for iPhone': 130, 'Twitter Web App': 68, 'Twitter Web Client': 2}"
DeniseCassino,"{'Hootsuite Inc.': 196, 'Twitter for iPad': 4}"
graceconnectus,"{'WordPress.com': 195, 'Twitter Web App': 3, 'Hootsuite Inc.': 2}"
LewisThompson_8,"{'Twitter for iPhone': 166, 'Twitter for Android': 3, 'Twitter for iPad': 1}"
FDD_Iran,"{'Buffer': 190, 'Twitter for iPhone': 10}"
parrythehoot,"{'Twitter Web App': 187, 'Twitter for Android': 12, 'Twitter Web Client': 1}"
rabah_wael,{'dlvr.it': 200}
amandacleghorn,"{'Twitter for iPhone': 182, 'Instagram': 16, 'Twitter Web Client': 1}"
MacTrast,"{'TweetDeck': 196, 'Twitter for iPhone': 4}"
SherryBabie,"{'Twitter for iPad': 190, 'Twitter Web App': 7, 'Twitter for iPhone': 1, 'Twitter Web Client': 1}"
Bstbookpromos,{'Hootsuite': 200}
BestsellerSvcs,{'Hootsuite': 200}
spiritualcatalg,{'SocialOomph': 200}
josealvarado213,"{'Twitter for BlackBerry®': 78, 'Crowdfire Inc.': 73, 'Twitter for Android': 12, 'Social by Nokia': 11, 'Twitter for MediaTek Phones': 7, 'Instagram': 5, 'Tumblr': 4, 'Twitter for Nokia S40': 3, 'Mobile Web (M2)': 1}"
TopBookPromos,{'Hootsuite': 200}
___mixedbeauty,"{'Twitter for iPhone': 182, 'Twitter Web App': 10}"
damronburgundy,"{'Twitter for Android': 197, 'Twitter Web App': 2}"
LuisAlberto71,{'Twitter for Android': 200}
mriannaburrayxo,{'Twitter for iPhone': 198}
DysonAmanda1,{'dlvr.it': 200}
GlobeMetro,"{'SocialFlow': 199, 'Twitter Web App': 1}"
Southridge300,"{'Twitter for Android': 49, 'Twitter for iPhone': 26}"
SchuckJH,"{'Twitter Web App': 128, 'Twitter for Android': 60, 'Untappd': 11, 'Twitter Web Client': 1}"
GreekCimPromo,{'Twitter Web Client': 200}
shanoeliz,"{'Twitter for iPhone': 152, 'Instagram': 39, 'Twitter Web Client': 1, 'iOS': 1, 'Mobile Web': 1}"
DoltonTV,{'Twitter for Android': 200}
MobiHealthNews,"{'Sprout Social': 145, 'dlvr.it': 45, 'Twitter Web App': 10}"
etsyaddict2,{'etsyaddict2': 200}
TopTenListsshow,{'dlvr.it': 200}
PAT_My_DICK,{'Twitter for iPhone': 197}
PhiladelphiaCP,{'Philadelphia Now': 200}
NationRadio,"{'Sqwarkr': 167, 'Twitter for iPhone': 19, 'TweetDeck': 11, 'Twitter Web App': 3}"
jb_winchester,"{'Instagram': 187, 'Twitter for iPhone': 9, 'Twitter Web App': 3, 'Twitter Web Client': 1}"
KitsonLA,"{'Instagram': 107, 'Twitter for iPhone': 80, 'Twitter Web Client': 7, 'Echofon': 3}"
princetonherald,{'Facebook': 200}
sileaswarwick,{'sileas_application': 200}
