username,userid,nFollowers,nFollowings,FollowersToFollowing,nLists,nFavs,nPosts,geo,location,url,description,verified,bot_in_name,bot_in_des,fav_tweets,fav_retweets,fav_replies,ret_tweets,ret_retweets,ret_replies,pop_fav_tweets,pop_fav_retweets,pop_fav_replies,pop_ret_tweets,pop_ret_retweets,pop_ret_replies,nPostMention,nPostQuote,nPostPlace,Tavg,age,screen_name_len
whyalesswa,1056095060,2703,1815,1.4892561983471075,6,45773,50594,1,1,0,1,0,0,0,0,0,0,0,2134797,0,0.0,0.0,0.0,0.0,6.607846596712786,0.0,177,57,0,5225.121052631579,204238881.0,10
xoxo_giuly_,1000424874194690048,31,133,0.23308270676691728,0,1158,907,0,1,0,1,0,0,0,76,0,4,10,7483703,1,0.02484472049689441,0.0,0.006015037593984963,0.0032690421706440013,393.4856196435144,0.0015037593984962407,143,6,0,108548.9649122807,374433251.0,11
xyfraofk,1034383638,473,697,0.6786226685796269,9,1852,11392,1,1,0,1,0,0,0,13,0,0,4,33634,0,0.0013322402131584342,0.0,0.0,0.00040992006558721045,0.27893283353098747,0.0,171,16,0,128993.03723404255,203505021.0,8
zia_eli,470253363,1035,1363,0.7593543653705063,4,2288,28341,0,0,0,0,0,0,0,5,0,3,6,25724,0,0.003668378576669112,0.0,0.0007336757153338225,0.004402054292002935,0.09728388711983119,0.0,195,3,0,131656.35353535353,174232575.0,7
ziaiaia3,908709155137032192,5448,1997,2.728092138207311,19,32922,28442,0,0,0,1,0,0,0,268,0,39,106,9527,3,0.03355032548823235,0.0,0.0005579798268831819,0.013269904857285929,0.0296314036271799,4.2921525144860145e-05,196,1,0,778.335,352566520.0,8
zilianisky66,875005129103200257,309,466,0.6630901287553648,0,37925,10769,0,0,0,1,0,0,0,0,0,0,0,61468,0,0.0,0.0,,0.0,0.6834485979230136,,194,22,0,3758.075376884422,344530854.0,12
MelroseMAGOP,861691058,910,924,0.9848484848484849,10,612,1369,0,1,1,1,0,0,0,202,0,0,238,1771,0,0.10930735930735931,0.0,,0.12878787878787878,0.07371794871794872,,24,1,0,432503.71428571426,196447551.0,12
MiddletonMAGOP,1865011970,1000,983,1.017293997965412,11,189,698,0,1,1,1,0,0,0,8,0,0,6,62,0,7.825338445887784e-05,0.0,,5.869003834415839e-05,0.01261444557477111,,5,0,0,565959.2110091744,226271341.0,14
DouglasMAGOP,1865142108,984,988,0.9959514170040485,10,656,1105,0,1,1,1,0,0,0,28,0,0,20,3672,0,0.0011336032388663969,0.0,,0.0008097165991902835,0.16893632683106366,,19,2,0,287824.8510638298,226274920.0,12
NAndoverMAGOP,2163541567,922,907,1.0165380374862183,8,360,572,0,1,1,1,0,0,0,2,0,0,0,1598,0,0.002205071664829107,0.0,,0.0,0.08809261300992283,,18,1,0,45825.666666666664,230159175.0,13
SherbornMAGOP,2166582637,849,748,1.1350267379679144,8,183,551,0,1,1,1,0,0,0,17,0,0,13,959,0,0.000148544266191325,0.0,,0.00011359267414630737,0.06410427807486631,,20,0,0,542372.1791907514,230302246.0,13
MedfieldMAGOP,2191191350,959,975,0.9835897435897436,8,701,1142,0,1,1,1,0,0,0,6,0,0,5,470,0,0.006153846153846154,0.0,,0.005128205128205128,0.024102564102564103,,19,1,0,4878.238095238095,231375258.0,13
HansonMAGOP,2207395363,870,868,1.0023041474654377,10,248,712,0,1,1,1,0,0,0,14,0,0,7,7233,0,0.00013785497656465398,0.0,,6.892748828232699e-05,0.5952106649111257,,13,1,0,588485.6030534351,232127310.0,11
HinghamMAGOP,2214071510,1045,1016,1.0285433070866141,11,514,679,0,1,1,1,0,0,0,24,0,0,20,18463,0,0.007874015748031496,0.0,,0.006561679790026247,0.6266291067064893,,25,3,0,699432.0,232464518.0,12
NorthboroMAGOP,2244325512,845,775,1.0903225806451613,12,325,687,0,1,1,1,0,0,0,24,0,0,52,1480,0,0.0002106649111257406,0.0,,0.000456440640772438,0.10050933786078098,,19,0,0,549627.2951807228,234039225.0,14
BerkleyMAGOP,2267900545,921,922,0.9989154013015185,7,412,848,0,1,1,1,0,0,0,9,0,0,9,465,0,0.009761388286334056,0.0,,0.009761388286334056,0.02292447249063301,,20,2,0,12242.217391304348,235428992.0,12
MiddlefldMAGOP,2320872192,991,997,0.9939819458375125,10,620,829,0,1,1,1,0,0,0,7,0,0,8,6270,0,0.007021063189568706,0.0,,0.00802407221664995,0.2246023785642642,,25,5,0,2692.655172413793,238256545.0,14
NorwellMAGOP,2335569980,1004,994,1.0100603621730382,9,855,727,0,1,1,1,0,0,0,10,0,0,6,954,0,0.0009145783793671117,0.0,,0.000548747027620267,0.03427709111813739,,25,4,0,600893.8205128205,239052842.0,12
HyannisMAGOP,2364674083,856,864,0.9907407407407407,9,365,568,0,1,1,1,0,0,0,45,0,0,56,3069,0,0.008680555555555556,0.0,,0.01080246913580247,0.0740017361111111,,47,2,0,943108.5185185185,240614606.0,12
Emma9425,193818184,7,0,,0,109,18,0,0,0,1,0,0,0,1,0,0,0,18706,0,,,,,,,10,4,0,13076290.277777778,132259955.0,8
Joliot1,356103137,6,154,0.03896103896103896,0,136,133,0,0,0,1,0,0,0,1,0,2,3,47411,0,6.0686976574827035e-05,0.0,0.003246753246753247,0.00018206092972448113,16.20334928229665,0.0,68,2,0,1958106.023076923,160569048.0,7
dankspankey,730577459293249543,5,0,,0,291,58,0,0,0,1,0,0,0,1,0,0,0,16613,0,,,,,,,40,5,0,1011068.6666666666,310096614.0,11
annandjo1,2858113394,11,0,,0,152,34,1,0,0,1,0,0,0,5,0,0,0,44028,0,,,,,,,20,2,1,3351062.9375,260546008.0,9
KissNra12,2247288438,11,0,,1,103,24,0,0,0,1,0,0,0,2,0,1,0,166,1,,,,,,,20,0,0,5250757.125,234196153.0,9
kimjacobs28,354863088,3,0,,0,150,42,0,0,0,1,0,0,0,0,0,0,0,1458,0,,,,,,,25,4,0,2998947.85,160403909.0,11
JFeldle,636598905,1,0,,0,122,20,0,0,0,1,0,0,0,0,0,0,0,43709,0,,,,,,,16,1,0,9931.421052631578,189471165.0,7
rCtSBt8hOzUny5Q,3378748334,4,0,,0,186,13,0,0,0,1,0,0,0,10,0,0,3,0,0,,,,,,,0,0,0,53658.92307692308,287908107.0,15
MVakkuu,863047812631613441,14,288,0.04861111111111111,0,334,53,0,0,0,1,0,0,0,6,0,0,0,164942,0,0.0020833333333333333,0.0,,0.0,14.685007122507123,,37,3,0,448000.20408163266,341680007.0,7
in_dent,83490960,1,0,,0,114,27,0,1,0,1,0,0,0,0,0,0,0,8219,0,,,,,,,15,1,0,10596093.0,102993335.0,7
Bit____,152892141,153,0,,0,783,4856,1,0,0,1,0,0,0,12,0,1,16,50065,6,,,,,,,81,4,0,834168.9948186529,122962151.0,7
nemorexxx,254291780,13,0,,0,310,62,0,0,0,1,0,0,0,2,0,0,0,32545,0,,,,,,,38,3,0,3403525.947368421,145155290.0,9
vini_do_11,40798827,16,0,,0,396,96,0,0,0,1,0,0,0,13,0,0,0,122146,0,,,,,,,71,5,0,2977728.440860215,89693804.0,10
dvargad1,2670999326,1,0,,0,116,25,0,0,0,1,0,0,0,0,0,0,1,392,0,,,,,,,14,1,0,5203943.909090909,253150883.0,8
vinci32096,2576112944,14,208,0.0673076923076923,0,191,45,0,0,0,1,0,0,0,1,0,0,0,37855,0,0.00036982248520710064,0.0,0.0,0.0,7.583133012820513,0.0,30,4,0,3597423.3255813955,250231342.0,10
12238453,2661078552,1,0,,0,96,26,1,1,0,1,0,0,0,1,0,0,0,75485,0,,,,,,,13,1,0,4003194.1739130435,252894934.0,8
XRamire,334365787,14,0,,0,224,52,0,0,0,1,0,0,0,1,0,0,0,9293,0,,,,,,,35,1,0,4280973.510204081,157594159.0,7
fatimaza13,263866717,11,0,,0,189,37,0,0,0,1,0,0,0,8,0,0,0,14373,0,,,,,,,21,2,0,18981.333333333332,146873396.0,10
ankoummai,2958596984,7,382,0.01832460732984293,0,2162,362,0,0,0,1,0,0,0,0,0,0,0,824299,0,0.0,0.0,0.0,0.0,215.78507853403138,0.0,12,0,0,179452.48,267462837.0,9
ACUSHIST,225534962,21,0,,0,293,102,0,0,0,1,0,0,0,5,0,0,0,169059,0,,,,,,,65,5,0,2428901.9787234045,139177800.0,8
leenardo4,945653458270527489,6,0,,0,172,35,0,0,1,1,0,0,0,0,0,0,0,66083,0,,,,,,,26,6,0,36446.26470588235,361374728.0,9
rephotographyYT,71602798,770,2093,0.36789297658862874,9,977,743,1,0,1,1,0,0,0,1495,0,225,146,58,8,0.014005602240896357,0.0,0.0007963051441312311,0.0013677711887430557,0.0019793870725547747,2.8313071791332663e-05,149,7,0,140758.33,99167387.0,15
khrisrafsilaba1,2200839001,61,0,,0,245,362,1,0,0,1,0,0,0,4,0,0,0,207473,0,,,,,,,69,3,7,653024.8833333333,231837927.0,15
Oscar_23184060,2179221553,48,988,0.048582995951417005,8,674,239,0,1,0,1,0,0,0,1,0,98,0,63969,1,4.048582995951417e-05,0.0,0.0007293403191236009,0.0,2.0233109817813766,7.4422481543224575e-06,150,0,0,103249.54922279793,230871374.0,14
d8QVVbRkpwHBeSh,947335707223191552,0,0,,0,175,36,0,0,0,1,0,0,0,0,0,0,0,74053,0,,,,,,,23,0,0,5021.0625,361775808.0,15
AlexisV93054233,714136838,7,0,,0,169,56,0,0,0,1,0,0,0,2,0,1,0,404886,0,,,,,,,38,3,0,3125843.160714286,190207830.0,15
thegroomsbride,501314123,135,732,0.18442622950819673,3,19409,19456,1,1,0,1,0,0,0,38,0,24,3,1775681,4,0.0008372994888066279,0.0,0.0010245901639344263,6.610259122157589e-05,23.55139529948538,0.00017076502732240437,133,18,2,92150.67512690356,177123712.0,14
steffithebro,551386596,35,0,,0,261,39,0,0,0,1,0,0,0,18,0,0,0,3287,0,,,,,,,23,1,0,19797.305555555555,181255351.0,12
Lin594555247,604319265,2,0,,0,99,17,0,0,0,1,0,0,0,0,0,0,0,120,0,,,,,,,10,0,0,11337371.0625,186386050.0,12
weilinwen,2273769613,14,70,0.2,0,151,28,0,0,0,1,0,0,0,0,0,0,0,6071,0,0.0,0.0,,0.0,4.564661654135339,,19,2,0,45701.40740740741,235789259.0,9
dmsqldkssyd,864260954,2,0,,0,100,7,0,0,0,1,0,0,0,7,0,0,1,0,0,,,,,,,0,0,0,24456752.285714287,196584969.0,11
520520lulu,2893629168,3,0,,0,129,21,0,0,0,1,0,0,0,3,0,0,1,15335,0,,,,,,,12,2,0,6174.105263157895,262522524.0,10
ehdvo,393866135,5,0,,0,162,9,0,0,0,1,0,0,0,14,0,0,5,0,0,,,,,,,0,0,0,139488.22222222222,166083478.0,5
CasualStacey,2569242318,4,0,,1,122,25,0,0,0,1,0,0,0,0,0,0,0,49261,0,,,,,,,16,3,0,5105.782608695652,249926710.0,12
WojasKas,2389072063,8,0,,0,348,53,0,0,0,1,0,0,0,1,0,0,0,21392,0,,,,,,,24,0,0,13089.854166666666,241881223.0,8
Longeeeeeer,4824471521,2,0,,0,132,28,0,1,0,1,0,0,0,0,0,0,0,463,0,,,,,,,16,1,0,15568.541666666666,300211556.0,11
DanielPeraltaM,365159192,102,286,0.35664335664335667,0,186,214,1,0,0,0,0,0,0,6,0,9,5,3282,5,0.000368052999631947,0.0,0.0002760397497239602,0.0003067108330266225,0.425019425019425,0.00015335541651331124,182,1,0,1308646.707070707,161825560.0,14
puspa_wardhani,40426450,139,0,,0,124,1970,1,1,0,1,0,0,0,25,0,0,5,9081,0,,,,,,,99,0,0,827693.4444444445,89536203.0,14
arghhhhh12,263814696,8,26,0.3076923076923077,0,411,274,0,1,0,1,0,0,0,4,0,99,7,5746,4,0.0017889087656529517,0.0,0.04094292803970223,0.0031305903398926656,13.0,0.001654259718775848,122,4,0,1299387.224489796,146865635.0,10
hjain1998,369515948,6,43,0.13953488372093023,0,163,79,0,1,0,0,0,0,0,10,0,30,1,250796,0,0.016611295681063124,0.0,0.01484413656605641,0.0016611295681063121,343.0861833105335,0.0,76,1,0,1750740.6794871795,162482416.0,9
Dominic86565591,946504129740001280,1,200,0.005,0,135,20,0,0,0,1,0,0,0,1,0,0,0,39413,0,0.0016666666666666666,0.0,,0.0,14.07607142857143,,14,3,0,13078.176470588236,361577544.0,15
shibatakeru,128718338,16,0,,0,229,40,0,1,0,1,0,0,0,0,0,0,0,157995,0,,,,,,,27,1,0,17628.78947368421,117247081.0,11
