username,userid,nFollowers,nFollowings,FollowersToFollowing,nLists,nFavs,nPosts,geo,location,url,description,verified,bot_in_name,bot_in_des,fav_tweets,fav_retweets,fav_replies,ret_tweets,ret_retweets,ret_replies,pop_fav_tweets,pop_fav_retweets,pop_fav_replies,pop_ret_tweets,pop_ret_retweets,pop_ret_replies,nPostMention,nPostQuote,nPostPlace,Tavg,age,screen_name_len
WhiskyExchange,46357131,27218,55,494.8727272727273,515,2213,12819,1,1,1,1,0,0,0,804,0,21,131,124,0,0.11982116244411326,0.0,0.012316715542521993,0.019523099850968704,0.04796905222437137,0.0,77,0,0,44045.19,91793209.0,14
TfL,47319664,2422688,149,16259.651006711409,4084,1550,104346,1,1,1,1,1,0,0,370,0,38,107,73,3,0.41387024608501116,0.0,0.001335254225376858,0.11968680089485458,0.16331096196868009,0.00010541480726659404,193,1,0,501.35,92146245.0,3
cnnbrk,428333,56602684,120,471689.0333333333,184406,22,69607,0,1,1,1,1,0,0,149344,0,350,60639,18207,93,7.588617886178862,0.0,2.9166666666666665,3.08125,4.335,0.775,35,0,0,8081.255,14780894.0,6
CNN,759251,45302658,1107,40923.81029810298,142595,1432,289134,1,0,1,1,1,0,0,106201,0,0,31667,784,0,0.4894686872038788,0.0,,0.1459497077963977,0.17705510388437218,,11,0,0,396.0,18059702.0,3
instagram,180505807,35970701,118,304836.4491525424,33198,348,12951,1,0,1,1,1,0,0,210613,0,22987,32835,1968,3193,14.27884745762712,0.0,2.9970013037809644,2.226101694915254,1.6677966101694917,0.4162972620599739,59,7,0,37541.44,129327071.0,9
BBCBreaking,5402612,41714232,3,13904744.0,137667,0,36342,0,1,1,1,1,0,0,518583,0,22634,243086,12313,8973,1041.331325301205,0.0,301.7866666666667,488.12449799196787,456.037037037037,119.64,10,0,0,37561.26,24331357.0,11
NFL,19426551,25139343,2635,9540.547628083492,50048,1610,204536,1,0,1,1,1,0,0,151020,0,0,24406,31510,0,0.5674563661299716,0.0,,0.09170533751667387,0.12079044716615875,,186,6,0,1597.725,79838886.0,3
TheEconomist,5988062,24394884,125,195159.072,114438,150,204888,0,1,1,1,1,0,0,16618,0,0,7316,133,0,0.696041884816754,0.0,,0.30642931937172774,0.11822222222222223,,18,0,0,914.71,26053490.0,12
BBCWorld,742143,26957802,71,379687.3521126761,118154,13,306401,1,1,1,1,1,0,0,78763,0,636,32533,17117,444,7.34660945807294,0.0,1.791549295774648,3.034511705997575,5.479193341869398,1.2507042253521126,44,1,0,2223.235,17394269.0,8
NatGeo,17471979,23711434,80,296392.925,65343,6729,53707,1,1,1,1,1,0,0,203771,0,6310,49187,206,1465,16.433145161290323,0.0,1.8779761904761905,3.9666935483870964,0.8583333333333334,0.43601190476190477,41,0,0,5703.99,74122090.0,6
